127.0.0.1 - - [17/Sep/2024:12:38:37 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:43 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30588
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:44 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/pandas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:45 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/Research.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:46 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:39:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:40:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:40:10 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30588
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:40:36 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30588
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:40:53 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30588
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:03 +0530] "GET /IBM_PROJECTS_OJT2024/registration.jsp HTTP/1.1" 200 9744
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:04 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:04 +0530] "GET /IBM_PROJECTS_OJT2024/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:04 +0530] "GET /IBM_PROJECTS_OJT2024/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:04 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:04 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:05 +0530] "GET /IBM_PROJECTS_OJT2024/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/signup_video.mp4 HTTP/1.1" 206 768393
0:0:0:0:0:0:0:1 - - [17/Sep/2024:12:41:09 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7677
